Time,Th_ENB1,Delay_ENB1,Loss_ENB1,UE_ENB1,RSRP_ENB1,SINR_ENB1,Load_ENB1,HO_ENB1,ThTrend_ENB1,DelayTrend_ENB1,LossTrend_ENB1,Th_ENB2,Delay_ENB2,Loss_ENB2,UE_ENB2,RSRP_ENB2,SINR_ENB2,Load_ENB2,HO_ENB2,ThTrend_ENB2,DelayTrend_ENB2,LossTrend_ENB2,Th_ENB3,Delay_ENB3,Loss_ENB3,UE_ENB3,RSRP_ENB3,SINR_ENB3,Load_ENB3,HO_ENB3,ThTrend_ENB3,DelayTrend_ENB3,LossTrend_ENB3,Th_ENB4,Delay_ENB4,Loss_ENB4,UE_ENB4,RSRP_ENB4,SINR_ENB4,Load_ENB4,HO_ENB4,ThTrend_ENB4,DelayTrend_ENB4,LossTrend_ENB4,Th_ENB5,Delay_ENB5,Loss_ENB5,UE_ENB5,RSRP_ENB5,SINR_ENB5,Load_ENB5,HO_ENB5,ThTrend_ENB5,DelayTrend_ENB5,LossTrend_ENB5,Th_ENB6,Delay_ENB6,Loss_ENB6,UE_ENB6,RSRP_ENB6,SINR_ENB6,Load_ENB6,HO_ENB6,ThTrend_ENB6,DelayTrend_ENB6,LossTrend_ENB6
11,0.807936,39.2202,1.9,1,-49.6196,50.3804,0.05,0,-0.008416,1.49476,0.233333,0,153.904,61.7,2,-55.8423,44.1577,0.1,0,0,0,8.51111,1.06042,122.346,30.45,2,-51.8569,48.1431,0.1,0,0.08416,5.67788,1.45556,2.91194,502.178,76.0812,16,-65.7337,34.2663,0.8,0,-0.117824,105.948,4.07778,4.27533,740.677,81.3074,27,-60.217,39.783,1,0,-0.067328,81.8719,-0.366667,4.54464,844.156,83.6906,32,-61.9178,38.0822,1,0,-0.025248,177.21,-2.01111
12,0.858432,207.155,45.5455,3,-65.5529,34.4471,0.15,2,0.050496,582.244,134.736,0,0,0,0,0,0,0,0,0,-307.807,-123.4,1.45597,114.553,28.9091,2,-51.7116,48.2884,0.1,0,0.395552,-15.5861,-3.08182,1.09408,534.256,78.6084,13,-67.0635,32.9365,0.65,0,-1.81786,-1089.53,-195.391,5.36941,681.512,79.8939,30,-60.6571,39.3429,1,3,1.09408,447.077,201.518,5.09168,843.542,83.4545,32,-61.3429,38.6571,1,0,0.54704,-19.6513,-7.55455
13,0.833184,206.666,47.3333,3,-65.6678,34.3322,0.15,0,-0.025248,-1.46747,5.36364,0,0,0,0,0,0,0,0,0,0,0,1.75053,103.829,26.1667,2,-51.5594,48.4406,0.1,0,0.29456,-21.4477,-5.48485,1.36339,532.343,79.3526,13,-67.1147,32.8853,0.65,0,0.269312,-24.8709,9.67424,9.00512,619.662,78.5972,30,-60.525,39.475,1,0,3.63571,-1855.48,-38.9015,2.67629,844.72,84.0052,32,-61.9784,38.0216,1,0,-2.41539,37.6913,17.6212
14,0.833184,35.9961,1.46154,1,-49.915,50.085,0.05,0,0,-584.001,-140.538,0,0,0,0,0,0,0,0,0,0,0,1.6832,95.1517,24.1538,2,-51.4002,48.5998,0.1,0,-0.067328,-17.3547,-4.02564,1.35498,176.989,40.0385,2,-54.7948,45.2052,0.1,0,-0.008416,-6566.48,-951.506,8.07094,566.233,79.9624,43,-63.5376,36.4624,1,13,-0.934176,5758.17,1080.47,2.5753,850.162,84.5,32,-62.2558,37.7442,1,0,-0.100992,174.141,15.8333
15,0.850016,35.2873,1.28571,1,-49.4417,50.5583,0.05,0,0.016832,-0.708832,-0.175824,0.395552,983.222,93.5714,1,-64.4125,35.5875,0.05,1,0.395552,983.222,93.5714,2.38173,303.188,55.4286,4,-55.9013,44.0987,0.2,2,0.698528,1022.45,173.407,1.75053,152.183,36.8929,2,-54.609,45.391,0.1,0,0.395552,-49.6108,-6.29121,3.22333,664.65,82.25,48,-63.6784,36.3216,1,5,-4.84762,7555.15,509.615,4.31741,704.413,81.1518,24,-60.7292,39.2708,1,0,1.74211,-10299.3,-756.357
16,0.8416,34.863,1.2,1,-50.1548,49.8452,0.05,0,-0.008416,-0.424242,-0.0857143,0.690112,573.221,88.5333,1,-64.6823,35.3177,0.05,0,0.29456,-410.001,-5.0381,2.93718,241.502,52.5833,4,-56.0048,43.9952,0.2,0,0.555456,-246.743,-11.381,1.6832,135.236,34.4333,2,-54.591,45.409,0.1,0,-0.067328,-33.8948,-4.91905,2.6847,676.215,82.9903,48,-63.6394,36.3606,1,0,-0.538624,555.135,35.5333,4.16592,695.171,81.0333,24,-60.5704,39.4296,1,0,-0.151488,-221.805,-2.84286
17,0.8416,34.4924,1.125,1,-51.4941,48.5059,0.05,0,0,-0.370608,-0.075,1.18666,324.331,81.3438,2,-60.501,39.499,0.1,1,0.496544,75.4404,74.1542,2.88669,208.845,50.1875,4,-56.2032,43.7968,0.2,0,-0.050496,-130.631,-9.58333,2.24707,202.662,55.2344,4,-58.5027,41.4973,0.2,2,0.563872,540.177,152.071,2.70154,712.427,83.8153,45,-63.2386,36.7614,1,0,0.016832,-399.083,-211.846,4.11542,692.542,80.9453,24,-60.2355,39.7645,1,0,-0.050496,-63.1007,-2.1125
18,0.8416,34.1659,1.05882,1,-52.7319,47.2681,0.05,0,0,-0.326541,-0.0661765,1.46438,229.682,73.0196,3,-59.8417,40.1583,0.15,1,0.277728,40.3851,56.3713,2.76045,190.469,48.2941,4,-56.4013,43.5987,0.2,0,-0.12624,-73.501,-7.57353,2.65946,192.367,53.2206,4,-58.5902,41.4098,0.2,0,0.412384,-41.1802,-8.05515,2.72678,737.8,84.6963,43,-62.9407,37.0593,1,0,0.025248,-333.841,-129.746,4.12384,691.195,81.1953,25,-60.0491,39.9509,1,1,0.008416,658.866,87.1949
19,0.833184,34.0792,1.05556,1,-53.8827,46.1173,0.05,0,-0.008416,-0.086705,-0.00326797,1.80102,217.178,70.5556,3,-60.1569,39.8431,0.15,0,0.33664,-37.5114,-7.39216,2.69312,178.953,46.7222,4,-56.6108,43.3892,0.2,0,-0.067328,-46.0665,-6.28758,2.4743,186.44,51.7361,4,-58.7118,41.2882,0.2,0,-0.185152,-23.7109,-5.93791,2.81094,752.567,85.115,43,-62.8151,37.1849,1,0,0.08416,635.002,18.0033,4.19958,694.014,81.1311,25,-59.647,40.353,1,0,0.075744,70.4689,-1.60458
20,0.8416,34.1813,1,1,-54.9577,45.0423,0.05,0,0.008416,0.102118,-0.0555556,1.77578,208.504,68.4035,3,-60.4739,39.5261,0.15,0,-0.025248,-26.0244,-6.45614,2.58371,171.905,45.4868,4,-56.8412,43.1588,0.2,0,-0.109408,-28.1924,-4.94152,2.55005,214.688,57.4211,5,-58.9064,41.0936,0.25,1,0.075744,327.683,80.1608,2.81094,780.332,85.4787,42,-62.6024,37.3976,1,0,-4.44089e-16,413.53,-69.8392,4.44365,699.143,81.0126,25,-59.1449,40.8551,1,0,0.244064,128.235,-2.96199
21,0.8416,34.2731,0.95,1,-55.9664,44.0336,0.05,0,0,0.0918078,-0.05,1.65795,201.7,66.7,3,-60.792,39.208,0.15,0,-0.117824,-20.4096,-5.11053,2.44906,168.407,44.575,4,-57.0993,42.9007,0.2,0,-0.134656,-13.9898,-3.64737,2.83619,207.909,56.18,5,-59.0948,40.9052,0.25,0,0.286144,-33.8986,-6.20526,2.79411,796.406,85.8095,42,-62.4452,37.5548,1,0,-0.016832,675.11,13.8947,4.56989,705.323,80.876,25,-58.3951,41.6049,1,0,0.12624,154.484,-3.41579
22,0.8416,34.3561,0.904762,1,-56.9165,43.0835,0.05,0,0,0.0829844,-0.0452381,1.6832,196.347,65.1111,3,-61.1104,38.8896,0.15,0,0.025248,-16.0611,-4.76667,2.42381,165.712,43.7857,4,-57.3885,42.6115,0.2,0,-0.025248,-10.7787,-3.15714,2.71837,202.778,55.1905,5,-59.2925,40.7075,0.25,0,-0.117824,-25.6522,-4.94762,2.98768,814.144,86.0828,42,-62.2765,37.7235,1,0,0.193568,745.025,11.4762,4.62038,709.332,80.741,25,-58.152,41.848,1,0,0.050496,100.242,-3.37619
23,0.8416,34.4315,0.863636,1,-57.8144,42.1856,0.05,0,0,0.0753747,-0.0411255,1.70003,192.042,63.6364,3,-61.4288,38.5712,0.15,0,0.016832,-12.9153,-4.42424,2.42381,163.194,43.0682,4,-57.7091,42.2909,0.2,0,0,-10.0753,-2.87013,2.85302,199.384,54.1455,5,-59.4952,40.5048,0.25,0,0.134656,-16.9726,-5.22511,2.97926,832.376,86.3323,42,-62.1014,37.8986,1,0,-0.008416,765.718,10.4784,4.65405,711.634,80.6109,25,-58.5667,41.4333,1,0,0.033664,57.543,-3.25108
24,0.8416,34.5002,0.826087,1,-58.6655,41.3345,0.05,0,0,0.0687657,-0.0375494,1.67478,78.0501,50.0652,2,-58.26,41.74,0.1,0,-0.025248,-420.024,-90.7787,2.44906,161.178,42.3804,4,-58.0588,41.9412,0.2,0,0.025248,-8.06183,-2.75099,2.64262,195.799,53.4087,5,-59.6996,40.3004,0.25,0,-0.2104,-17.9243,-3.68379,3.03818,838.55,86.5602,43,-62.0232,37.9768,1,1,0.058912,1097.89,96.1324,4.71296,712.896,80.48,25,-58.7229,41.2771,1,0,0.058912,31.541,-3.27273
25,0.8416,34.5632,0.791667,1,-59.4745,40.5255,0.05,0,0,0.0629895,-0.0344203,1.6832,74.0601,47.9792,2,-58.5031,41.4969,0.1,0,0.008416,-7.98013,-4.1721,2.48272,158.912,41.7083,4,-58.4335,41.5665,0.2,0,0.033664,-9.06346,-2.68841,2.64262,273.75,58.8681,6,-60.1203,39.8797,0.3,1,0,663.504,86.1649,3.01293,854.384,86.7073,42,-61.6816,38.3184,1,0,-0.025248,-173.55,-80.3786,4.62038,714.433,80.3783,25,-58.784,41.216,1,0,-0.092576,38.4216,-2.54167
26,0.8416,34.6211,0.76,1,-60.2453,39.7547,0.05,0,0,0.0579118,-0.0316667,1.6832,70.7031,46.06,2,-58.7486,41.2514,0.1,0,0,-6.71387,-3.83833,2.4743,156.906,41.1,4,-58.8279,41.1721,0.2,0,-0.008416,-8.0265,-2.43333,2.55005,263.181,58.4933,6,-60.1506,39.8494,0.3,0,-0.092576,-63.4105,-2.24833,3.18966,869.39,86.8781,42,-61.4542,38.5458,1,0,0.176736,630.261,7.17167,4.45206,715.124,80.3168,25,-58.8035,41.1965,1,0,-0.16832,17.2835,-1.53833
27,0.8416,34.6745,0.730769,1,-60.9814,39.0186,0.05,0,0,0.0534242,-0.0292308,1.6832,67.8558,44.2885,2,-58.996,41.004,0.1,0,0,-5.69455,-3.54308,2.33965,155.834,40.6923,4,-59.2371,40.7629,0.2,0,-0.134656,-4.28869,-1.63077,2.7857,228.107,51.9923,5,-58.3692,41.6308,0.25,0,0.235648,-438.551,-90.9985,3.30749,869.442,87.042,43,-61.2528,38.7472,1,1,0.117824,871.636,93.9277,4.56147,714.942,80.24,25,-58.8016,41.1984,1,0,0.109408,-4.53794,-1.92
28,0.833184,34.8519,0.740741,1,-61.6857,38.3143,0.05,0,-0.008416,0.177321,0.00997151,1.6832,65.391,42.6481,2,-59.2447,40.7553,0.1,0,0,-4.92969,-3.28063,2.17974,155.833,40.4907,4,-59.6562,40.3438,0.2,0,-0.159904,-0.00226047,-0.806268,2.86144,215.229,51.2519,5,-58.1843,41.8157,0.25,0,0.075744,-64.391,-3.70228,3.50106,882.979,87.1637,43,-60.8803,39.1197,1,0,0.193568,582.096,5.22934,4.61197,714.608,80.16,25,-58.7839,41.2161,1,0,0.050496,-8.35667,-2
29,0.749024,35.143,1.10714,1,-62.3609,37.6391,0.05,0,-0.08416,0.291146,0.366402,1.6832,63.2359,41.125,2,-59.4942,40.5058,0.1,0,0,-4.3103,-3.0463,2.104,156.286,40.3839,4,-60.0812,39.9188,0.2,0,-0.075744,1.8117,-0.427249,3.13075,203.463,50.3357,5,-57.9967,42.0033,0.25,0,0.269312,-58.8305,-4.58069,3.75354,909.049,87.6071,45,-60.2079,39.7921,1,2,0.25248,2939.07,194.284,4.72138,670.847,78.7469,23,-57.8666,42.1334,1,0,0.109408,-2435.71,-192.821
30,0.88368,35.5501,0.896552,1,-63.0094,36.9906,0.05,0,0.134656,0.407092,-0.210591,1.6832,61.3359,39.7069,2,-59.7442,40.2558,0.1,0,0,-3.79993,-2.83621,1.96093,156.94,40.431,4,-60.5087,39.4913,0.2,0,-0.143072,2.61457,0.188424,2.91194,196.218,49.6621,5,-57.8063,42.1937,0.25,0,-0.218816,-36.2245,-3.36823,3.90502,920.848,87.6789,45,-59.8489,40.1511,1,0,0.151488,530.987,3.2303,4.89811,668.791,78.6072,23,-57.6168,42.3832,1,0,0.176736,-47.2887,-3.21305
31,0.71536,36.2268,1.36667,1,-63.6331,36.3669,0.05,0,-0.16832,0.676661,0.470115,1.6832,59.648,38.3833,2,-59.9942,40.0058,0.1,0,0,-3.37583,-2.64713,1.90202,157.947,40.5333,4,-60.9364,39.0636,0.2,0,-0.058912,4.02883,0.409195,2.91194,190.714,49.0333,5,-57.6129,42.3871,0.25,0,0,-27.5214,-3.14368,4.13226,938.888,87.887,46,-59.713,40.287,1,1,0.227232,1750.68,97.2483,4.85603,636.178,77.7273,22,-56.9097,43.0903,1,0,-0.04208,-1386.28,-97.9655
32,0.681696,38.497,1.93548,1,-64.2338,35.7662,0.05,0,-0.033664,2.27027,0.568817,1.6832,58.1384,37.1452,2,-60.244,39.756,0.1,0,0,-3.01912,-2.47634,1.79261,159.364,40.7339,4,-61.3622,38.6378,0.2,0,-0.109408,5.67024,0.802151,2.91194,186.444,48.4452,5,-57.4813,42.5187,0.25,0,0,-21.3472,-2.94086,4.03968,947.251,87.9411,46,-59.4804,40.5196,1,0,-0.092576,384.669,2.49032,5.01594,633.891,77.5718,22,-56.6055,43.3945,1,0,0.159904,-50.3199,-3.41935
33,0,38.497,5,1,-64.8132,35.1868,0.05,0,-0.681696,0,3.06452,0.361888,60.2969,38.4375,2,-60.4932,39.5068,0.1,0,-1.32131,4.31706,2.58468,0.016832,159.331,42.5703,4,-61.7848,38.2152,0.2,0,-1.77578,-0.133681,7.34577,2.12925,184.439,48.475,5,-57.3776,42.6224,0.25,0,-0.782688,-10.0279,0.149194,4.02285,945.039,87.9932,46,-59.6417,40.3583,1,0,-0.016832,-101.729,2.39718,10.7136,594.048,76.4645,22,-56.2903,43.7097,1,0,5.69763,-876.555,-24.3619
34,0,38.497,7.87879,1,-65.3728,34.6272,0.05,0,0,0,2.87879,0.311392,62.7635,39.7424,2,-60.7417,39.2583,0.1,0,-0.050496,4.93311,2.60985,0,159.331,44.3106,4,-62.2032,37.7968,0.2,0,-0.016832,0,6.96117,2.08717,183.676,48.5333,5,-57.2664,42.7336,0.25,0,-0.04208,-3.81521,0.291667,3.58522,943.645,88.0764,46,-59.5366,40.4634,1,0,-0.437632,-64.1347,3.82765,10.5957,558.204,75.4435,22,-55.9777,44.0223,1,0,-0.117824,-788.56,-22.4612
35,0,0,0,0,0,0,0,0,0,-38.497,-7.87879,0.25248,64.7836,41.0735,2,-60.9891,39.0109,0.1,0,-0.058912,4.04019,2.66221,0,0,0,0,0,0,0,0,0,-637.324,-177.242,2.14608,231.594,48.8067,7,-57.4627,42.5373,0.35,2,0.058912,702.782,98.9804,3.21491,657.2,83.0959,23,-51.0589,48.9411,1,0,-0.370304,-28292,-2140.31,9.00512,819.422,80.9344,48,-65.5579,34.4421,1,26,-1.59062,27051.8,2225.1
36,0,0,0,0,0,0,0,0,0,0,0,0.580704,67.5495,41.7714,2,-61.2353,38.7647,0.1,0,0.328224,5.53172,1.3958,0,0,0,0,0,0,0,0,0,0,0,2.67629,228.001,48.9714,7,-57.331,42.669,0.35,0,0.530208,-25.1517,1.15294,3.18966,652.893,83.1081,23,-51.5525,48.4475,1,0,-0.025248,-99.0773,0.279832,9.56058,799.274,80.803,48,-65.381,34.619,1,0,0.555456,-967.122,-6.31008
37,0,0,0,0,0,0,0,0,0,0,0,0.555456,70.3248,42.4722,2,-61.4802,38.5198,0.1,0,-0.025248,5.55073,1.40159,0,0,0,0,0,0,0,0,0,0,0,2.65946,224.612,49.1349,7,-57.1894,42.8106,0.35,0,-0.016832,-23.7277,1.14444,3.1055,659.36,82.7462,22,-51.2992,48.7008,1,0,-0.08416,-510.613,-91.069,9.70365,774.851,80.8923,49,-65.175,34.825,1,1,0.143072,-397.441,85.1794
38,0,0,0,0,0,0,0,0,0,0,0,0.572288,73.2342,43.1081,2,-61.7235,38.2765,0.1,0,0.016832,5.81885,1.27177,0,0,0,0,0,0,0,0,0,0,0,2.60896,223.722,49.3127,7,-57.0407,42.9593,0.35,0,-0.050496,-6.2238,1.24474,2.91194,411.087,70.8277,8,-39.3746,60.6254,0.4,0,-0.193568,-11217.2,-1253.8,9.56058,768.942,82.7465,63,-67.2583,32.7417,1,14,-0.143072,10475.7,1249.3
39,0.269312,199.582,60.4211,1,-59.5349,40.4651,0.05,1,0.269312,199.582,60.4211,0.622784,74.8988,43.6316,2,-61.9652,38.0348,0.1,0,0.050496,3.32919,1.04694,0,0,0,0,0,0,0,0,0,0,0,2.70154,225.868,47.4693,6,-55.2856,44.7144,0.3,0,0.092576,-210.848,-60.3734,2.79411,401.489,70.5033,8,-40.0085,59.9915,0.4,0,-0.117824,-76.7838,-2.59531,9.43434,760.646,82.7322,63,-67.311,32.689,1,0,-0.12624,-522.679,-0.895448
40,0.8416,189.508,58.8718,1,-58.6115,41.3885,0.05,0,0.572288,-10.0737,-1.54926,0.429216,76.5347,44.4231,2,-62.2051,37.7949,0.1,0,-0.193568,3.27174,1.583,0,0,0,0,0,0,0,0,0,0,0,2.70995,224.228,47.4402,6,-55.0405,44.9595,0.3,0,0.008416,-9.84116,-0.174764,2.97085,390.024,70.1282,8,-40.4287,59.5713,0.4,0,0.176736,-91.7215,-3.00067,9.42592,753.325,82.7192,63,-67.3679,32.6321,1,0,-0.008416,-461.178,-0.823887
41,0.8416,180.617,57.4,1,-57.6327,42.3673,0.05,0,0,-8.89132,-1.47179,0.403968,87.2103,38.075,1,-61.2159,38.7841,0.05,0,-0.025248,-65.8591,-50.7712,0,0,0,0,0,0,0,0,0,0,0,2.70995,223.237,47.4125,6,-54.8127,45.1873,0.3,0,0,-5.94906,-0.166026,3.18125,376.8,69.6937,8,-40.6063,59.3937,0.4,0,0.2104,-105.792,-3.47564,9.39226,736.325,82.234,64,-67.5257,32.4743,1,1,-0.033664,-334.681,51.6673
42,0.8416,172.711,56,1,-56.5915,43.4085,0.05,0,0,-7.90559,-1.4,0.370304,89.5478,38.5122,1,-61.3664,38.6336,0.05,0,-0.033664,2.33746,0.437195,0,0,0,0,0,0,0,0,0,0,0,2.77728,222.303,47.3537,6,-54.6155,45.3845,0.3,0,0.067328,-5.59896,-0.353049,2.9961,365.682,69.3476,8,-40.3741,59.6259,0.4,0,-0.185152,-88.9453,-2.76951,9.40909,730.954,82.2412,64,-67.5688,32.4312,1,0,0.016832,-343.727,0.464024
43,0.8416,165.636,54.6667,1,-55.4793,44.5207,0.05,0,0,-7.07517,-1.33333,0.319808,91.7663,39.0714,1,-61.5164,38.4836,0.05,0,-0.050496,2.21852,0.559233,0,0,0,0,0,0,0,0,0,0,0,2.85302,221.594,47.2619,6,-54.4614,45.5386,0.3,0,0.075744,-4.25648,-0.550523,3.08026,356.31,68.9881,8,-38.9003,61.0997,0.4,0,0.08416,-74.9742,-2.87573,9.13978,726.346,82.26,64,-67.6149,32.3851,1,0,-0.269312,-294.928,1.20383
44,0.8416,159.267,53.3953,1,-54.2858,45.7142,0.05,0,0,-6.36906,-1.27132,0.269312,93.0876,39.7442,1,-61.666,38.334,0.05,0,-0.050496,1.3213,0.672757,0,0,0,0,0,0,0,0,0,0,0,3.02976,220.966,47.093,6,-54.3587,45.6413,0.3,0,0.176736,-3.76714,-1.01329,3.2065,346.655,68.6017,8,-40.3165,59.6835,0.4,0,0.12624,-77.2377,-3.09081,9.05562,722.397,82.2816,64,-67.6682,32.3318,1,0,-0.08416,-252.768,1.3804
45,0.8416,153.503,52.1818,1,-52.9982,47.0018,0.05,0,0,-5.76364,-1.21353,0.260896,94.5786,40.4091,1,-61.8151,38.1849,0.05,0,-0.008416,1.49096,0.664905,0,0,0,0,0,0,0,0,0,0,0,2.88669,221.005,46.9962,6,-54.3086,45.6914,0.3,0,-0.143072,0.234779,-0.580867,3.01293,342.286,67.6331,7,-41.4498,58.5502,0.35,0,-0.193568,-377.24,-75.3821,8.96304,712.718,82.1622,65,-67.7438,32.2562,1,1,-0.092576,93.294,74.5222
46,0.8416,148.263,51.0222,1,-51.6003,48.3997,0.05,0,0,-5.24062,-1.1596,0.2104,96.037,41.1778,1,-61.9637,38.0363,0.05,0,-0.050496,1.45846,0.768687,0,0,0,0,0,0,0,0,0,0,0,2.85302,220.821,46.9185,6,-54.3051,45.6949,0.3,0,-0.033664,-1.10621,-0.466162,2.72678,334.142,66.1667,6,-40.9224,59.0776,0.3,0,-0.286144,-391.148,-76.4318,9.02195,703.942,82.0721,66,-67.9253,32.0747,1,1,0.058912,133.515,76.2101
