timestamp,Th_ENB1,Delay_ENB1,Loss_ENB1,UE_ENB1,RSRP_ENB1,SINR_ENB1,Load_ENB1,Th_ENB2,Delay_ENB2,Loss_ENB2,UE_ENB2,RSRP_ENB2,SINR_ENB2,Load_ENB2,Th_ENB3,Delay_ENB3,Loss_ENB3,UE_ENB3,RSRP_ENB3,SINR_ENB3,Load_ENB3,Th_ENB4,Delay_ENB4,Loss_ENB4,UE_ENB4,RSRP_ENB4,SINR_ENB4,Load_ENB4,Th_ENB5,Delay_ENB5,Loss_ENB5,UE_ENB5,RSRP_ENB5,SINR_ENB5,Load_ENB5,Th_ENB6,Delay_ENB6,Loss_ENB6,UE_ENB6,RSRP_ENB6,SINR_ENB6,Load_ENB6
32,149.494,24.8638,0.00537178,298.877,-89.7145,29.9511,0.646821,160.579,27.0635,0.0074982,320.221,-87.8685,30,0.684963,155.95,26.0601,0.00569954,310.721,-92.2567,27.8592,0.617577,157.925,28.1473,0.00922717,330.971,-87.0447,30,0.69871,152.975,24.816,0.00586703,290.315,-91.0368,26.0676,0.599867,156.747,27.1603,0.00692172,309.107,-88.9446,30,0.667107
33,150.246,25.0526,0.00523311,298.526,-89.8705,30,0.646797,159.475,27.1886,0.00718098,321.418,-88.0046,30,0.683707,154.891,26.0059,0.00585923,310.372,-92.2019,27.9673,0.624694,157.516,28.0627,0.00882519,331.094,-87.2215,30,0.699538,151.472,24.8294,0.00516976,290.079,-91.0978,26.0987,0.599309,155.497,27.0469,0.00720678,308.668,-89.1994,29.861,0.672364
34,150.328,24.9899,0.00534417,301.223,-89.9488,30,0.647058,159.224,26.9079,0.00705709,320.125,-87.738,30,0.676221,154.904,26.1736,0.00581616,310.029,-92.2751,27.8945,0.624866,158.93,27.802,0.00945181,330.556,-86.7792,30,0.700156,151.978,25.0667,0.00513965,288.12,-91.1152,26.0614,0.597019,156.347,27.188,0.0065939,310.69,-89.0337,30,0.666771
35,150.385,25.1352,0.00544461,300.733,-90.0017,30,0.653689,160.141,26.8122,0.00793095,320.758,-87.8941,30,0.681589,154.788,26.0605,0.00560659,310.631,-91.7004,27.8645,0.624772,157.814,28.1483,0.00928239,330.268,-86.8569,30,0.699041,130.148,36.8574,0.0135895,318.403,-90.8213,19.8497,0.886147,155.24,27.0178,0.00650576,309.298,-89.0801,29.9689,0.671955
36,149.777,24.9795,0.00473754,299.493,-90.1636,29.872,0.651034,160.336,27.0478,0.00746349,319.519,-87.782,30,0.679792,154.051,25.9365,0.0058802,309.595,-91.9519,28.0101,0.621079,158.53,28.1252,0.00921812,331.822,-87.2891,30,0.695076,130.789,36.9496,0.0130251,319.062,-91.2638,19.9994,0.881484,155.203,26.9943,0.00675678,309.139,-89.1156,30,0.670392
37,149.623,25.0441,0.00521615,299.09,-90.0519,29.8866,0.646811,160.362,26.8726,0.00752516,320.836,-88.2359,30,0.677566,155.926,25.9934,0.00630599,310.201,-92.274,28.0399,0.624514,158.203,28.1277,0.00938421,328.912,-87.1728,30,0.69911,131.174,36.9504,0.013135,316.301,-90.8317,19.8015,0.886194,155.847,27.067,0.00659554,310.495,-89.0289,30,0.66668
38,150.474,25.1451,0.00471674,298.383,-90.2858,30,0.651071,160.093,26.8928,0.00739091,320.378,-88.0019,30,0.676364,155.39,25.9617,0.0059282,310.87,-91.8845,28.1474,0.616284,157.208,28.0897,0.00907839,329.097,-87.2523,30,0.703942,129.878,36.7197,0.0130083,316.774,-91.2583,19.8747,0.878644,156.601,26.8935,0.00704001,311.52,-88.9095,30,0.668243
39,149.666,25.0678,0.00549414,300.647,-89.9653,30,0.649652,159.12,27.0249,0.00795763,318.701,-87.886,30,0.680358,154.193,25.9801,0.00625616,309.39,-91.9011,28.0886,0.624272,157.469,27.9597,0.00865242,331.97,-86.7438,30,0.70342,130.536,36.8398,0.0128708,318.375,-91.2234,19.9668,0.885789,156.417,26.8145,0.00680313,309.052,-89.0839,29.8763,0.67437
40,150.108,24.9222,0.00489698,299.789,-89.9396,30,0.654194,159.994,27.1969,0.00785142,318.834,-87.7416,30,0.683174,154.761,26.1512,0.00636806,311.224,-91.826,27.9414,0.615809,157.806,27.8694,0.00919495,329.384,-86.7146,30,0.703225,129.759,36.9351,0.0137044,317.302,-90.9362,19.9485,0.879717,156.005,26.9595,0.00664637,309.47,-89.2591,29.8577,0.666352
41,150.926,25.0198,0.00546582,299.73,-90.1129,30,0.649395,159.211,27.0563,0.00721604,320.478,-87.9099,30,0.675613,155.562,25.9839,0.00555816,311.979,-92.2653,28.0585,0.624837,157.478,27.8569,0.00862138,329.213,-87.2394,30,0.695623,130.513,36.989,0.0135956,317.814,-91.1162,19.9062,0.883239,155.852,26.8523,0.0073866,309.799,-89.1832,29.9603,0.669141
42,150.655,25.0934,0.0052693,298.044,-90.0503,29.9944,0.645192,159.52,27.1041,0.00713711,320.141,-88.1709,30,0.677412,155.952,26.1206,0.00645958,309.951,-92.2342,28.0144,0.619544,158.689,27.8392,0.00898824,328.6,-87.1052,30,0.69976,130.246,36.7481,0.0132411,318.494,-90.7647,20.0056,0.885837,155.631,27.0753,0.0069376,309.019,-88.7955,29.8615,0.674018
43,149.923,25.0549,0.00515935,301.58,-89.918,30,0.645667,160.037,26.8601,0.00773743,320.049,-87.8919,30,0.675848,155.433,25.8288,0.00557126,308.048,-91.7261,28.0713,0.618533,157.593,27.9399,0.00927465,330.645,-87.1889,30,0.695984,130.815,36.8961,0.0130467,315.437,-91.2507,20.0094,0.880923,156.538,27.0499,0.00688194,308.823,-89.2272,30,0.672746
44,150.288,25.0121,0.00454195,301.874,-89.8208,29.9378,0.6548,160.204,27.033,0.00774807,321.247,-87.9061,30,0.678383,155.856,25.8898,0.00587217,309.728,-92.0364,28.0339,0.624431,157.481,27.8486,0.00869747,331.548,-86.9125,30,0.703159,131.217,36.9289,0.0137006,316.363,-90.847,19.8572,0.886388,156.457,27.1106,0.00715616,308.71,-88.973,30,0.674374
45,149.086,24.8659,0.00463173,300.904,-89.8093,29.9141,0.650059,160.681,27.0931,0.00754224,320.361,-87.995,30,0.68065,155.378,26.1493,0.00613629,311.044,-92.204,27.9885,0.615093,157.493,28.0906,0.00949181,328.397,-87.0591,30,0.69704,130.605,36.8836,0.0133976,316.106,-91.0868,19.9542,0.88351,155.01,27.1044,0.00653531,310.983,-89.1785,30,0.668679
46,149.654,24.8596,0.0048056,301.507,-89.7022,29.9605,0.649486,160.444,27.1545,0.00759304,319.566,-88.0524,30,0.675032,155.239,25.9422,0.0062942,308.372,-91.9471,27.9943,0.621423,157.13,28.032,0.00906148,330.243,-86.9379,30,0.70305,130.034,36.9204,0.0132799,315.662,-91.2649,19.8193,0.885817,156.415,27.1154,0.00701727,309.761,-89.2115,29.9485,0.66934
47,149.177,24.8882,0.00509823,300.943,-89.701,30,0.651426,159.842,27.0545,0.00778565,318.473,-88.0541,30,0.678838,155.144,26.0351,0.00568448,309.449,-92.0993,27.8579,0.615242,158.663,27.9092,0.00901808,329.195,-86.7356,30,0.699297,131.24,36.9271,0.0129677,318.564,-91.0251,19.8639,0.879303,155.161,27.0912,0.00699646,309.747,-88.8623,30,0.666589
48,150.22,24.8541,0.00525138,300.628,-89.726,29.8707,0.645571,159.564,26.9047,0.00724698,321.625,-88.1503,30,0.682594,154.899,26.1107,0.00556537,309.95,-92.2798,27.8688,0.624064,157.278,28.013,0.0089111,329.389,-86.7601,30,0.701638,131.421,36.8144,0.0137184,315.563,-91.0487,19.7971,0.885276,156.963,26.9026,0.00715417,308.792,-88.9608,29.9892,0.67472
49,150.217,24.9398,0.0046141,298.605,-90.1648,29.9253,0.653506,160.122,27.0094,0.00711477,321.441,-87.8663,30,0.682078,155.087,25.8327,0.0059583,309.939,-92.2005,28.1337,0.6235,158.338,27.9849,0.00891177,330.604,-86.9727,30,0.700125,131.107,36.774,0.0128336,318.499,-91.1792,19.7966,0.879615,155.66,27.1027,0.00701939,308.82,-88.7733,30,0.673706
50,149.478,24.9805,0.00548499,301.088,-90.2837,29.8696,0.649639,160.818,27.0155,0.00749781,318.422,-87.9059,30,0.678804,155.551,26.1858,0.00570377,310.093,-92.1277,28.0879,0.620776,158.269,28.1192,0.00889597,331.66,-86.9802,30,0.701959,131.081,36.717,0.0136388,318.978,-91.1339,20.0141,0.879375,155.404,26.8737,0.00739399,310.617,-89.2087,29.9821,0.671153
51,149.167,25.153,0.0053036,300.021,-89.7197,29.9753,0.654841,160.336,27.0539,0.00716595,321.528,-88.0435,30,0.675126,155.12,26.011,0.00621935,311.561,-92.2524,28.0694,0.616874,158.716,28.1276,0.00904079,330.841,-87.1114,30,0.703216,130.413,36.7335,0.0132758,318.667,-91.0989,19.7712,0.885088,156.652,26.8403,0.00673987,308.568,-89.0912,29.9851,0.672488
52,150.302,25.0484,0.00485237,301.366,-90.0172,30,0.651341,159.253,27.0705,0.0073251,320.745,-88.2582,30,0.683557,154.454,26.1348,0.00577928,310.572,-91.8835,28.0038,0.618053,157.425,27.8133,0.00880395,330.613,-86.737,30,0.702661,131.071,36.8563,0.0130419,318.982,-90.8976,19.8872,0.879078,155.894,26.9841,0.00736456,310.187,-89.0718,30,0.666107
53,149.845,24.8168,0.0052399,301.672,-90.132,30,0.647922,160.822,27.1016,0.00780491,318.072,-87.7223,30,0.678048,155.659,25.9126,0.00637275,308.45,-91.8778,28.0122,0.615965,157.484,27.805,0.00896877,329.205,-86.941,30,0.697999,130.981,36.6096,0.0136845,318.763,-90.8993,19.897,0.886891,155.371,26.8316,0.00673951,311.178,-89.2792,30,0.674954
54,150.711,25.0086,0.00456364,301.325,-89.9406,29.8845,0.645939,160.819,27.0677,0.00782929,321.516,-87.9569,30,0.679304,154.634,25.9738,0.00627388,310.408,-91.7645,27.983,0.621071,158.263,28.0367,0.00920263,328.95,-86.9926,30,0.698845,130.47,36.8512,0.0137322,317.756,-90.8538,19.8709,0.884309,155.142,26.9018,0.00686185,309.89,-89.2726,29.892,0.667768
55,150.943,24.9325,0.00498204,298.784,-89.9335,29.9342,0.64707,160.033,26.8022,0.00700766,318.876,-88.278,30,0.678389,155.605,26.0288,0.00601267,309.174,-91.7409,27.9691,0.615871,158.234,27.8455,0.00884522,330.03,-86.7755,30,0.702023,131.48,36.6429,0.0130564,316.932,-91.0469,19.8423,0.887044,156.428,27.0432,0.00680937,311.295,-88.727,30,0.665016
56,150.273,24.8205,0.00475761,298.238,-89.9377,30,0.646145,159.768,26.9825,0.00736905,318.484,-88.0486,30,0.67571,154.16,25.9419,0.00644173,310.674,-91.8928,27.9586,0.620937,157.02,28.0544,0.00941329,330.45,-86.7758,30,0.696206,131.299,36.6169,0.0133156,315.922,-91.293,19.8456,0.880919,155.972,27.0309,0.00654374,308.492,-88.9648,29.953,0.672292
57,150.305,25.1382,0.00519249,299.72,-89.8962,29.9326,0.648063,160.578,26.9786,0.00779838,321.29,-87.7855,30,0.67931,154.638,26.0329,0.00587117,310.404,-91.8766,28.0565,0.618746,157.334,27.9722,0.00864259,331.56,-87.0925,30,0.695254,130.786,36.8451,0.0131222,315.64,-91.0542,19.8124,0.884739,156.212,26.9458,0.00671789,311.952,-89.0276,30,0.666406
58,149.971,24.811,0.00500546,301.856,-90.0695,29.8617,0.64531,159.776,26.864,0.00702335,321.025,-88.0249,30,0.684001,154.232,26.1824,0.00581397,311.554,-91.9382,28.098,0.62484,157.577,28.1845,0.00888948,329.542,-87.0958,30,0.696541,130.602,36.807,0.0135435,318.688,-91.0357,19.8097,0.880562,155.389,26.8231,0.00684245,309.081,-88.7201,30,0.668473
59,150.161,24.8557,0.00494404,300.505,-90.0067,29.9705,0.654938,160.761,27.0494,0.00756938,320.483,-88.1792,30,0.675395,154.951,26.0172,0.00572775,311.856,-91.7543,28.0666,0.620334,158.74,27.8523,0.00929051,328.499,-86.8235,30,0.703771,131.382,36.6499,0.0132443,319.278,-91.01,19.9781,0.883856,155.751,26.9143,0.00670322,311.047,-89.0681,30,0.669923
60,150.155,25.1462,0.00548074,299.63,-89.8035,30,0.650735,160.912,26.8802,0.00710926,321.416,-88.0365,30,0.683931,154.125,26.1534,0.00594832,310.042,-91.924,28.1279,0.615191,157.954,28.0751,0.00922271,330.77,-87.2193,30,0.698587,131.103,36.7018,0.0129923,319.183,-91.2947,20.0184,0.884736,156.657,26.9178,0.00651432,310.951,-88.7995,30,0.666429
61,150.507,25.1076,0.00515854,301.064,-89.7924,30,0.645886,159.975,26.8311,0.00740754,319.628,-88.2604,30,0.67611,155.616,26.1791,0.00557232,311.82,-91.9865,27.9399,0.615769,158.001,28.1178,0.00920709,328.201,-87.2563,30,0.697953,129.959,36.7027,0.0135851,319.071,-91.0569,19.9909,0.881183,155.953,26.8904,0.00714048,311.916,-88.9379,29.9573,0.671478
62,149.246,25.1555,0.00500308,299.797,-89.9485,30,0.645718,160.365,26.8968,0.00771395,321.29,-87.8176,30,0.680202,154.286,26.1101,0.00577141,309.987,-92.1294,27.8901,0.621296,157.109,28.0995,0.00881759,328.001,-86.9933,30,0.697762,130.908,36.6154,0.013621,315.369,-91.1519,19.9413,0.881131,155.204,26.9441,0.00677039,311.371,-89.112,30,0.673919
63,149.868,25.164,0.00487732,301.856,-90.2464,30,0.649938,159.775,27.0531,0.00770386,318.017,-88.1998,30,0.681664,155.932,26.1044,0.00645077,310.81,-92.1212,27.8816,0.622818,158.288,27.8193,0.00886005,331.827,-86.9998,30,0.699577,129.912,36.7378,0.0131514,315.563,-90.8395,19.844,0.88619,156.701,26.8848,0.00715735,309.889,-88.7719,29.9147,0.671778
64,150.216,24.9181,0.0046366,300.607,-89.8568,29.9447,0.651448,159.79,27.0853,0.00719922,321.561,-88.1276,30,0.675581,154.223,26.0063,0.00576759,311.342,-92.2912,27.9637,0.618373,157.039,27.8497,0.00891364,329.971,-87.0574,30,0.700951,129.514,36.776,0.0137451,317.43,-90.8935,19.8126,0.885708,156.546,27.0085,0.00747601,308.502,-89.2898,30,0.673072
65,149.24,24.9062,0.00451755,299.173,-89.8361,30,0.648481,159.743,26.8005,0.0072998,320.586,-87.7155,30,0.675236,155.797,26.1133,0.00628038,309.832,-92.0612,27.9409,0.615657,157.456,27.8986,0.00898408,330.99,-87.0157,30,0.704578,131.38,36.9044,0.013773,317.532,-90.7223,19.7417,0.881625,155.451,26.8783,0.0066408,310.49,-88.8312,30,0.66647
